Kind,Category,Default form,Can be excerpt?,Takes times?,Takes teachers?,Takes tags?,Append to excerpt?,Inherit teachers from:,Form 1,Form 2,Form 3,Usage notes
Question,Questions,3,Yes,Yes,Yes,Yes,No,Session,unimplemented,unimplemented,“{text}”|| Answered by {teachers}.,
Response,Questions,1,No,No,Yes,Yes,No,Session,++Response{s}++|| by {teachers}||{colon} {text},unimplemented,unimplemented,
Follow-up,Questions,2,No,No,Yes,Yes,No,Excerpt,unimplemented,++Follow-up{colon}++ “{text}”|| aswered by {teachers}.,unimplemented,
,,,,,,,,,,,,
Story,Stories,2,Yes,Yes,Yes,Yes,No,Excerpt,unimplemented,++Stor{'ies' if s else 'y'}{colon}++ {text}|| told by {teachers}.,unimplemented,
Recollection,Stories,2,Yes,Yes,Yes,Yes,No,Excerpt,unimplemented,++Recollection{s}{colon}++ {text}|| recounted by {teachers}.,unimplemented,
,,,,,,,,,,,,
Teaching,Teachings,3,Yes,Yes,Yes,Yes,No,Excerpt,++Teaching{s}++|| by {teachers}||{colon} {text},++Teaching{s}{colon}++ {text}|| contributed by {teachers}.,{text}|| Teaching{s} by {teachers}.,
Reflection,Teachings,1,Yes,Yes,Yes,Yes,No,Excerpt,++Reflection{s}++|| by {teachers}||{colon} {text},++Reflection{s}{colon}++ {text}|| contributed by {teachers}.,{text}|| Reflection{s} by {teachers}.,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quote,Quotes,2,Yes,Yes,Yes,Yes,No,Excerpt,unimplemented,++Quote:++ {prefix} “{text}” {suffix}|| — {teachers},unimplemented,A quote from the teacher him/herself.
Indirect quote,Quotes,2,Yes,Yes,Yes,Yes,No,Excerpt,unimplemented,++Quote:++ {prefix} “{text}”{' — ' if suffix else ''}{suffix}||{'.' if suffix else ''} Quoted by {teachers}.,unimplemented,"The teacher quoting someone else. If the person quoted in a teacher, they should get the first tag."
,,,,,,,,,,,,
Meditation instruction,Meditations,2,Yes,Yes,Yes,Yes,No,Excerpt,unimplemented,++Meditation instruction{s}{colon}++ {text}|| offered by {teachers}.,unimplemented,
,,,,,,,,,,,,
Reading,Readings,1,Yes,Yes,Yes,Yes,No,None,++Reading{s}{colon}++ {text},++Reading{s}{colon}++ {text},unimplemented,"{teachers} should be the author(s) of the book. Use a Read by annotation to indicate who does the reading. If the book appears in the list of references, {teachers} will be set and "" by {teachers}"" inserted automatically. If not, plug both in manually along with the hyperlink if relevant."
,,,,,,,,,,,,
Reference,References,1,No,No,No,Yes,No,,++Reference{s}++: {text},unimplemented,unimplemented,
Sutta,References,1,No,No,No,Yes,No,,++Sutta{s}++: {text},unimplemented,unimplemented,
Vinaya,References,1,No,No,No,Yes,No,,++Vinaya:++ {text},unimplemented,unimplemented,
,,,,,,,,,,,,
,,,,,,,,,,,,
Comment,Other,1,Yes,Yes,Yes,Yes,No,Anon,++Comment{s}++|| by {teachers}||{colon} {text},++Comment{s}{colon}++ {text}|| contributed by {teachers}.,{text}|| Comment{s} by {teachers}.,
Other,Other,0,Yes,Yes,Yes,Yes,No,None,unimplemented,unimplemented,unimplemented,
,,,,,,,,,,,,
Read by,Attribution,1,No,No,Yes,No,Yes,Session,{'Read by ' if text else ''}{text}{'.' if text else ''}||Read by {teachers}.,unimplemented,unimplemented,"If the reader is not a teacher, {teachers} should be Anon and {text} specifies the name of the reader."
,,,,,,,,,,,,
Extra tags,Other,0,No,No,No,Yes,No,,unimplemented,unimplemented,unimplemented,
