Abbreviation,Title,Author1,Author2,Attribution,PDF page offset,Filename,Remote URL
Stillness Flowing,Stillness Flowing,AJaya,,by Ajahn Jayasaro,22,stillness-flowing - 2018-08-31.pdf,https://www.abhayagiri.org/media/books/stillness-flowing%20-%202018-08-31.pdf
Collected Teachings,Collected Teachings of Ajahn Chah,AChah,AP,,38,Chah_The_Collected_Teachings_of_Ajahn_Chah.pdf,https://www.abhayagiri.org/media/books/Chah_The_Collected_Teachings_of_Ajahn_Chah.pdf
Chanting Book,Amaravati Chanting Book,AmSangha,,,9,Chanting-Book-Vol-1-Web.pdf,https://www.abhayagiri.org/media/books/Chanting-Book-Vol-1-Web.pdf
Ajahn Mun Biography,Venerable Ācariya Mun Bhūridatta Thera: A Spiritual Biography,AMahaB,,by Ajahn Mahā Boowa,24,maha_boowa_acariya_mun_a_spiritual_biography.pdf,https://www.abhayagiri.org/media/books/maha_boowa_acariya_mun_a_spiritual_biography.pdf
Ajahn Lee Biography,The Autobiography of Phra Ajahn Lee,ALee,,by Ajahn Lee Dhammadharo,0,lee_autobiography_of_phra_ajaan_lee.pdf,https://www.abhayagiri.org/media/books/lee_autobiography_of_phra_ajaan_lee.pdf
Path of Purification,Path of Purification,Nyanamoli,,translated by Bhikkhu Ñāṇamoli,58,PathofPurification2011.pdf,https://www.accesstoinsight.org/lib/authors/nanamoli/PathofPurification2011.pdf
Samana,Samaṇa,AMahaB,,by Ajahn Mahā Boowa,1,maha_boowa_samana.pdf,https://www.abhayagiri.org/media/books/maha_boowa_samana.pdf
A Heart Released,A Heart Released,AMun,,by Ajahn Mun,0,AHeartReleased_181215.pdf,https://www.dhammatalks.org/Archive/Writings/Ebooks/AHeartReleased_181215.pdf
An Unentangled Knowing,An Unentangled Knowing,UKee,,by Upasikā Kee Nanayon,0,AnUnentangledKnowing_181215.pdf,https://www.dhammatalks.org/Archive/Writings/Ebooks/AnUnentangledKnowing_181215.pdf
Santi,Santi – Peace Beyond Delusion,ALiem,,by Ajahn Liem,1,Santi - Luang Por Liem.pdf,https://www.abhayagiri.org/media/books/Santi%20-%20Luang%20Por%20Liem.pdf
Buddhist Economics,Buddhism: A Middle Way for the Market Place,Payutto,,by P. A. Payutto,0,Buddhist_Economics.pdf,https://www.urbandharma.org/pdf/Buddhist_Economics.pdf
A Constitution for Living,A Constitution for Living,Payutto,,by P. A. Payutto,9,bp620s_Payutto_A-Constitution-For-Living.pdf,https://www.bps.lk/olib/bp/bp620s_Payutto_A-Constitution-For-Living.pdf
Chithurst Story,The Chithurst Story,GSharp,,by George Sharp,1,The-Chithurst-Story.pdf,https://cdn.amaravati.org/wp-content/uploads/2020/01/10/The-Chithurst-Story.pdf
Book of Discipline,The Book of the Discipline,IBHorner,,by I.B. Horner,6,Book_of_the_Discipline.pdf,https://github.com/suttacentral/suttacentral-files/blob/master/Book_of_the_Discipline.pdf?raw=true
2010 Abhayagiri Chanting Book,2010 Abhayagiri Chanting Book,AbhSangha,,,0,abhayagiri_monastic_foundation_chanting_book_revision_2010.pdf,https://www.abhayagiri.org/media/books/abhayagiri_monastic_foundation_chanting_book_revision_2010.pdf
Book of Protection,The Book of Protection,Piyadasi,,by Piyadasi Thera,7,Piyadassi_Book-of-Protection.pdf,downloaded from https://buddho.org/book/the-book-of-protection/
