Modified:,2024,,,,,,,,,
Tag,Flags,Display as,Related,Status,Key topic,Topic code,Progress memo,Short note,Long note,
Impermanence,,,,,The Human Dillema,human,,,,
Suffering,,,,,,,,,,
Fear,,,,,,,,,,
Sickness,,,,,,,,,,
Ageing,,,,,,,,,,
Death,,,,Reviewed,,,,,,
Recollection/Death,+,,,,,,,,,
Grief,,,,Reviewed,,,,,,
,,,,,,,,,,
Three Refuges,,,,,The Three Refuges,refuges,,,,
Buddha,,,Buddha/Biography,Reviewed,,,,,,
Recollection/Buddha,+,,,,,,,,,
Buddho mantra,+,,,,,,,,,
Dhamma,,,,Reviewed,,,,,,
Recollection/Dhamma,+,,,,,,,,,
Saṅgha,,,Communal harmony,Reviewed,,,,,,
Recollection/Saṅgha,+,,,,,,,,,
,,,,,,,,,,
Spiritual friendship,,,,,Foundations of Dhamma Practice,foundations,,,,
Association with people of integrity,+,,,,,,,,,
Generosity,,,,,,,,,,
Recollection/Generosity,+,,,,,,,,,
Goodwill,,,,,,,,,,
Virtue,,,,Reviewed,,,,,,
Recollection/Virtue,+,,,,,,,,,
Precepts,,,Right Speech;Right Action,Reviewed,,,,,,
Five Precepts,+,,,,,,,,,
Eight Precepts,+,,,,,,,,,
Renunciation,,,,Reviewed,,,,,,
,,,,,,,,,,
Four Noble Truths,,,,Reviewed,The Four Noble Truths,truths,,The Fourth Noble Truth of the Path to the Cessation of Suffering is equivalent to the Noble Eightfold Path below.,The Fourth Noble Truth of the Path to the Cessation of Suffering is equivalent to the [Noble Eightfold Path](topic:path).<br>,
Noble Truth of Suffering,,Suffering,,,,,,,,
Cause of Suffering,,,,,,,,,,
Cessation of Suffering,,,,,,,Two short excerpts; looking for excerpt relating to 4NT.,,,
,,,,,,,,,,
Middle Path,,,,Reviewed,The Noble Eightfold Path,path,,"For Right Intention, see [Renunciation](cluster:), [Non-ill-will](cluster:Goodwill), and [Non-cruelty](cluster:Compassion).",,
Eightfold Path,,,,,,,,,,
Right View,,,,Reviewed,,,,,,
Right Speech,,,,Reviewed,,,,,,
False speech,+,,,,,,,,,
Malicious speech,+,,,,,,,,,
Harsh speech,+,,,,,,,,,
Idle chatter,+,,,,,,,,,
Admonishment/feedback,+,,,,,,,,,
Right Action,,,,,,,Needs an excerpt about killing.,,,
Killing,+,,,,,,,,,
Stealing,+,,,,,,,,,
Sexual misconduct,+,,,,,,,,,
Right Livelihood,,,,,,,,,,
Right Effort,,,,,,,,,,
Right Mindfulness,,,Mindfulness,Sorted,,,Look for excerpt about clear comprehension.,,,Mindfulness
Ardency,+,,,,,,,,,
Clear comprehension,+,,,,,,,,,
Right Concentration,,,Concentration,Reviewed,,,,,,Concentration
Directed thought and evaluation,+,,,,,,,,,
Rapture,+,,,,,,,,,
Unification,+,,,,,,,,,
Jhāna,+,,,,,,,,,
,,,,,,,,,,
Meditation,,,,,Meditation Practices,meditation,,,,
Meditation/General advice,+,,,,,,,,,
