Total,,34,398,16,578,0,31:26:03,,
Event Code,Start date,Sessions,Questions,Answers listened to,Tags applied,Invalid tags,Duration,Seconds,SortBy
TG2013,22/11/2013,8,138,2,209,0,7:52:27,28347,Thu Nov 21 2013 19:00:00 GMT-0500 (Eastern Standard Time)
TG2014,21/11/2014,7,122,4,165,0,8:10:22,29422,Thu Nov 20 2014 19:00:00 GMT-0500 (Eastern Standard Time)
TG2015,20/11/2015,8,127,0,170,0,8:38:19,31099,Thu Nov 19 2015 19:00:00 GMT-0500 (Eastern Standard Time)
WR2018-2,12/3/2018,11,11,10,34,0,6:44:55,24295,Sun Mar 11 2018 20:00:00 GMT-0400 (Eastern Daylight Time)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
