Modified:,2024,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,
Title,2015 Thanksgiving Monastic Retreat,,,,,,,,,,,,,,,
Subtitle,Mindfulness of Feeling,,,,,,,,,,,,,,,
Code,TG2015,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy;DS,,,,,,,,,,,,,,,
Start date,20/11/2015,,,,,,,,,,,,,,,
End date,29/11/2015,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Index.html,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center before it closed due to fire damage.,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,
Excerpts,129,,,,,,,,,,,,,,,
Answers listened to,0,,,,,,,,,,,,,,,
Tags applied,236,,,TRUE,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,
Duration,8:38:19,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Teachers,Exclude?,Seconds,,,,
1,21/11/2015,04_AP_11_21_2015_TMR_Q_A.mp3,52:52,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/04_AP_11_21_2015_TMR_Q_A.mp3,10,,,,AP,,3172,,,,
2,22/11/2015,07_AP_11_22_2015_TMR_Q_A.mp3,40:38,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/07_AP_11_22_2015_TMR_Q_A.mp3,9,,,,AP,,2438,,,,
3,23/11/2015,10_AP_11_23_2015_TMR_Q_A.mp3,1:05:48,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/10_AP_11_23_2015_TMR_Q_A.mp3,16,,,,AP,,3948,,,,
4,24/11/2015,13_AP_11_24_2015_TMR_Q_A.mp3,1:14:52,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/13_AP_11_24_2015_TMR_Q_A.mp3,23,,,,AP,,4492,,,,
5,25/11/2015,16_AP_11_25_2015_TMR_Q_A.mp3,1:09:43,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/16_AP_11_25_2015_TMR_Q_A.mp3,15,,,,AP,,4183,,,,
6,26/11/2015,19_AP_11_26_2015_TMR_Q_A.mp3,1:07:12,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/19_AP_11_26_2015_TMR_Q_A.mp3,15,,,,AP,,4032,,,,
7,27/11/2015,22_AP_11_27_2015_TMR_Q_A.mp3,58:37,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/22_AP_11_27_2015_TMR_Q_A.mp3,13,,,,AP,,3517,,,,
8,28/11/2015,25_AP_11_28_2015_TMR_Q_A.mp3,1:28:37,,https://www.abhayagiri.org/media/discs/2015ThanksgivingRetreat/Audio/25_AP_11_28_2015_TMR_Q_A.mp3,28,,,,AP,,5317,,,,
<---->,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Teachers,Text,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,AListen?,Exclude?,FTag,FTagOrder
1,,,1:09,,,Equanimity.  ...your thoughts?,Equanimity,,,,,,,,,
1,,,6:16,,,Please explain wise action. How can one see that it is not influenced by craving?,Discernment,Craving,,,,,,,,
1,,,9:49,,,"This morning you talked about crossing the floods of obsessive thought by not holding on to or pushing them away. I get that, but it feels like there's something missing – a hole that needs to be filled up with something – a solution?",Proliferation,Becoming,,,,,,,,
1,,,12:27,,,What should we do during eating? How to eat with meditation?,Food,,,,,,,,,
1,,,15:36,,,Could you please repeat the name of the sutta you mentioned this morning that laid out the “whole spiritual path” in a conversation with the devas?,,,,,,,,,,
1,,,16:29,,,What is the difference between piti and sukha? Also equanimity and emptiness as a felt sense?,Rapture,Happiness,Equanimity,Emptiness,,,,,,
1,,,22:02,,,"I volunteer in hospice and was in attendance for the passing of my parents. I notice vast differences in the way people experience their passage. What can we do, while still alive, to prepare for a peaceful and “wakeful” passing? Other than “being present,” is there anything that can be of benefit to others?",Death,Grief,,,,,,,,
1,,,34:01,,,Would you tell us again the name of the sutta you spoke of last night and in today's Dhamma talk?,,,,,,,,,,
1,,,34:44,,,What is the best approach to deal with guilt?,Guilt/shame/inadequacy,,,,,,,,,
1,,,43:00,,,"For those of us who need to routinely rest more due to aging, illness, or disability, could you share some suggestions and advice for how to optimize ths time as mediation in a lying down posture?",Posture/Lying down,,,,,,,,,
2,,,0:06,,,What are the general similarities and differences between the practice of anapanasati and satipatthana? Are they the same practice?,Right Mindfulness,Mindfulness of breathing,,,,,,,,
2,,,2:46,,,Praise for the question and answer session. Every question is important; can you answer them all?,,,,,,,,,,
2,,,6:16,,,Can you say something about forgiveness practice?,Forgiveness,,,,,,,,,
2,,,12:36,,,"What do you recommend for pet owners with aging, sick pets? Do they get to live out their lives or is a merciful end at the hands of a vet OK?",Animal,Euthanasia,,,,,,,,
2,,,14:23,,,Could you share some suggestions and advice for using the breath-body as an object of meditation? This seems like a skillful way of meditating when the gross physical body is experiencing a lot of pain. Is there any drawback to that?,Mindfulness of breathing,Pain,,,,,,,,
2,,,20:32,,,Can you address dependent origination and causation?,Dependent origination,Conditionality,,,,,,,,
2,,,24:42,,,Can you tell us your story of when you decided to become a monk?,Ajahn Pasanno,Monastic life/Motivation,,,,,,,,
2,,,33:18,,,Is it important in this practice to ask for forgiveness for intentional/non-intentional actions both in this life and in past lives?,Forgiveness,Rebirth,,,,,,,,
2,,,36:00,,,Do you have any suggestions for the position of the hands during standing meditation?,Posture/Standing,,,,,,,,,
