Modified:,2024,,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2016,,,,,,,,,,,,,,,,,,,,
Subtitle,The Gradual Path,,,,,,,,,,,,,,,,,,,,
Code,TG2016,,,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,,,
Teachers,AP;ASd;AKd;DS,,,,,,,,,,,,,,,,,,,,
Start date,18/11/2016,,,,,,,,,,,,,,,,,,,,
End date,27/11/2016,,,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/2/34-the-gradual-path-thanksgiving-retreat-2016,,,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center before it closed due to fire damage.,,,,,,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,,,,,,
Excerpts,121,,,,,,,,,,,,,,,,,,,,
Answers listened to,0,,,,,,,,,,,,,,,,,,,,
Tags applied,440,,,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,,,
Duration,7:54:29,,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,,,
1,19/11/2016,04 2016-11-19 AP Questions and Answers 1.mp3,38:01,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/04%202016-11-19%20AP%20Questions%20and%20Answers%201.mp3,7,,,,,2281,,,,,,,,,
2,20/11/2016,07 2016-11-20 AP Questions and Answers 2.mp3,59:15,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/07%202016-11-20%20AP%20Questions%20and%20Answers%202.mp3,16,,,,,3555,,,,,,,,,
3,21/11/2016,10 2016-11-21 AP Questions and Answers 3.mp3,1:06:18,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/10%202016-11-21%20AP%20Questions%20and%20Answers%203.mp3,14,,,,,3978,,,,,,,,,
4,22/11/2016,13 2016-11-22 AP Questions and Answers 4.mp3,57:10,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/13%202016-11-22%20AP%20Questions%20and%20Answers%204.mp3,14,,,,,3430,,,,,,,,,
5,23/11/2016,16 2016-11-23 AP Questions and Answers 5.mp3,47:15,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/16%202016-11-23%20AP%20Questions%20and%20Answers%205.mp3,13,,,,,2835,,,,,,,,,
6,24/11/2016,19 2016-11-24 AP Questions and Answers 6.mp3,1:10:45,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/19%202016-11-24%20AP%20Questions%20and%20Answers%206.mp3,16,,,,,4245,,,,,,,,,
7,25/11/2016,22 2016-11-25 AP Questions and Answers 7.mp3,1:26:39,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/22%202016-11-25%20AP%20Questions%20and%20Answers%207.mp3,23,,,,,5199,,,,,,,,,
8,26/11/2016,25 2016-11-26 AP Questions and Answers 8.mp3,49:06,AP,,https://www.abhayagiri.org/media/discs/thanksgiving-retreat-2016/Audio/25%202016-11-26%20AP%20Questions%20and%20Answers%208.mp3,18,,,,,2946,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,ATag6,Off topic?,AListen?,Exclude?,FTags,FTagOrder
1,,,0:35,,I am guessing that accountant had little chance of finding his way to Nibbana - unless he ordained?  Do you know if he did?,,Sutta,,,,,,,,,,,,,,
1,Sutta,,,,MN 107: Gaṇakamoggallāna Sutta,,,,,,,,,,,,,,,,
1,,,1:25,5:37,I have a cancer and finished my treatment and am afraid it will come back if I don’t take care of myself as doctor told.  So it is my stress.  How can I think about my stress to hold it in my mind?,,Sickness,Suffering,Fear,,Happiness,Gratitude,,,,,,,,Sickness,?
1,,,5:42,6:51,What is the difference between yoniso manasikara and insight?,,Appropriate attention,Insight meditation,,,Conditionality,,,,,,,,,Appropriate attention,100
1,,,6:57,,What do you do when there are ants at the monastery?  Is there a way to get rid of them naturally without killing them?  I had to get rid of some a week ago and witnessed 3 ants die somewhat painfully by what I used which caused both sadness and remorse in me and I don’t want to do it again.  But what is “right action” (ie. the precepts) versus what is practical?,,Animal,Killing,Monastic life,,,,,,,,,,,,
