Modified:,2023,,,,,,,
Teacher,Full name,Index excerpts?,Index sessions?,Searchable?,Attribute?,Allow tag?,Group,Lineage
AbhSangha,Abhayagiri Saṅgha,Yes,Yes,Yes,Yes,Yes,Communities,Western disciples of Ajahn Chah
AmSangha,Amaravati Saṅgha,Yes,Yes,Yes,Yes,Yes,Communities,Western disciples of Ajahn Chah
,,,,,,,,
AMun,Ajahn Mun,Yes,Yes,Yes,Yes,Yes,Monastics,Root teachers
AChah,Ajahn Chah,Yes,Yes,Yes,Yes,Yes,Monastics,Root teachers
ALee,Ajahn Lee Dhammadharo,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
AMahaB,Ajahn Mahā Boowa,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
ATongJan,Ajahn Tong Jan,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
ABaen,Ajahn Baen,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
CKUpali,Tan Chao Khun Upālī Guṇūpamājahn,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai
ADune,Ajahn Dune,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai
,,,,,,,,
,,,,,,,,
,,,,,,,,
Nyanamoli,Bhikkhu Ñāṇamoli,Yes,Yes,Yes,Yes,Yes,Monastics,Other Theravāda
UKee,Upasikā Kee Nanayon,Yes,Yes,Yes,Yes,Yes,Lay teachers,
IBHorner,I. B. Horner,Yes,Yes,Yes,Yes,Yes,Lay teachers,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PaAuk,Pa Auk Sayadaw,No,No,Yes,Yes,Yes,Monastics,Other Theravāda
Payutto,P. A. Payutto,Pending,Pending,Yes,Yes,Yes,Monastics,Other Thai
,,,,,,,,
Piyadasi,Piyadasi Thera,No,No,Yes,Yes,Yes,Monastics,
ASilaratano,Ajahn Sīlaratano,No,No,Yes,Yes,Yes,Monastics,Other Thai Forest
Analayo,Venerable Analayo,No,No,Yes,Yes,Yes,Monastics,Other Theravāda
,,,,,,,,
ABuddhadasa,Ajahn Buddhadāsa,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
APlien,Ajahn Plien,Yes,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest
,,,,,,,,
