Key,Value,,,,,,,,,,,,,,,,
Title,The Middle Way of Not-Self,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,
Code,UD2015-2,,,,,,,,,,,,,,,,
Series,Upasika Days,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,
Start date,27/05/2015,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,
Tags,Middle Path;Not-self,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/59-the-middle-way-of-not-self-upasika-day-2015,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,
Excerpts,16,,,,,,,,,,,,,,,,
Tags applied,82,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,
Duration,2:11:10,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,
1,27/05/2015,2015-06-27 Upasika Day The Middle Way of Not-Self.mp3,1:04:10,AP,The Middle Way of Not-Self,https://www.abhayagiri.org/media/audio/AP_06_27_2015_Upasaka_Day_The_Middle_Way_of_Not_Self.mp3,16,Not-self,,,,3850,,,,,
2,27/05/2015,2015-06-27 Upasika Day The Purpose of Not-Self.mp3,1:07:00,AP,The Purpose of Not-Self,https://www.abhayagiri.org/media/audio/AP_06_27_2015_Upasaka_Day_The_Purpose_of_Not_Self.mp3,0,Not-self,,,,4020,,,,,
,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,,,27:28,31:16,What are the commentaries? How do they know stuff that isn't in the suttas?,,Commentaries,Sutta,History/Early Buddhism,,History/Sri Lankan Buddhism,Culture/Thailand,Direct experience,,,Yes,
1,,,31:21,33:42,What are mental formations and consciousness?,,Aggregates,Volitional formations,Consciousness,,Sense bases,Contact,,,,,
1,Sutta,,,,MN 44: Cūḷavedalla Sutta,,,,,,,,,,,,
1,,,33:46,36:59,"The Buddha didn't answer the question, 'Is there a self?' But this question seems more important than other questions he didn't answer. How should we relate to not-self?",,Buddha/Biography,Questions,,,Teaching Dhamma,Feeling,Relinquishment,Self-identity view,Four Noble Truths,,
1,Extra tags,,,,,,,,,,Views,,,,,,
1,,,37:01,,Are the skillful means for dealing with not-self aas easy as know and let go?,,Mindfulness,Relinquishment,,,Discernment,Truth,,,,,
1,Comment,,37:44,,"The question that occured to me was ""If I take this as myself, where does it lead me?""",,Discernment,,,,,,,,,,
1,Response,,,,,,Suffering,Self-identity view,,,,,,,,,
1,,,38:45,40:37,"I've heard the teaching that if you watch your kilesas in samādhi, they tend to subside. Sometimes you watch your sakkāya-diṭṭhi and it's not going away. What to do?",,Unskillful qualities,Mindfulness,Concentration,Cessation,Impermanence,Suffering,,,,,
1,Extra tags,,,,,,Self-identity view,,,,,,,,,,
