Key,Value,,,,,,,,,,,,,,,,
Title,Suttas You've Never Heard Of,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,
Code,UD2016-2,,,,,,,,,,,,,,,,
Series,Upasika Days,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,
Start date,25/06/2016,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,
Tags,Sutta;Human,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/56-suttas-youve-never-heard-of-upasika-day-2016,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno reads and discusses a series of suttas regarding the human condition.,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,
Excerpts,8,,,,,,,,,,,,,,,,
Tags applied,48,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,
Duration,2:49:07,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,
1,25/06/2016,2016-06-25 Sutta Study Upasika Day The Human Situation.mp3,1:05:37,AP,The Human Situation,https://www.abhayagiri.org/media/audio/AP_06_25_2016_Upasika_Day_Suttas_1_The_Human_Situation.mp3,8,Sutta,Human,,,3937,,,,,
2,25/06/2016,2016-06-25 Sutta Study Upasika Day Responding to the Human Situation.mp3,1:43:30,AP,Responding to the Human Situation,https://www.abhayagiri.org/media/audio/AP_06_25_2016_Upasika_Day_Suttas_2_Responding_to_the_Human_Situation.mp3,0,Treasures,,,,6210,,,,,
,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,Other,,Session,,,,,,,,,,,,,,
1,Reference,,,,"""[Befriending the Suttas](https://www.accesstoinsight.org/befriending.html)"" at [accesstoinsight.org](https://accesstoinsight.org).",,,,,,,,,,,,
1,,,25:41,28:08,You mentioned suttas about meditation and practical life issues. Are there any other general categories of suttas?,,,,,,,,,,,,
1,,,45:14,49:15,How do these particular teachings (AN 5.48: Situations) fit with kamma?,,Kamma,Sickness,,,Lawfulness,Characteristics of existence,,,,,
1,Comment,,49:19,,I appreciate that AN 5.48 includes devas and Māra.,RCenter,Deva,Māra,Realms of existence,,,,,,,,
1,Response,,,,,,,,,,,,,,,,
1,,,50:04,55:18,"In the West, we personalize every bit of suffering. Is it different in Thailand?",AP;AKd,Culture/West,Suffering,Self-identity view,Culture/Thailand,Language,Liberation,,,,Yes,
1,Story,,,,Ajahn Pasanno can't translate guilt into Thai.,,Ajahn Pasanno,Guilt/shame/inadequacy,Thai,Translation,Culture/Thailand,,,,,,
1,Indirect quote,-,,,That's really suffering. Tell them not to do that.|Ajahn Paññānanda,,Ajahn Paññānanda,Guilt/shame/inadequacy,Suffering,Culture/Thailand,,,,,,,
1,Reference,,,,_Can't We Talk about Something More Pleasant?_ by Roz Chast (commercial).,,Ageing,Sickness,Family,Health care,,,,,,,
1,,,55:20,56:42,"In this sutta (AN 5.48), there's the assumption that everyone has enemies. It's making me a little paranoid.",,Fear,,,,Judgementalism,,,,,,
1,,,56:51,58:30,"With development (bhavana), is one able to shape the course of sickness or heal oneself to a degree?",,Meditation,Sickness,Health,,Happiness,Medicinal requisites,,,,Yes,
1,Comment,,,,I've been reflecting on how AN 5.48 applies to environmental and collective well-being–engaging without the expectation that actions will have a certain result.,,Environment,Politics and society,,,,,,,,,
1,Response,,,,,,History/Thai Buddhism,Environment,Politics and society,,,,,,,,
1,Comment,,1:01:56,1:03:50,I find it difficult to find the line between what you can change and what you can't.,,Politics and society,Everyday life,Equanimity,,,,,,,Yes,
1,Response,,,,,,Clear comprehension,Delusion,,,,,,,,,
1,Comment,,1:03:55,1:05:15,"Michael Olds translates sutta as 'magical spell.' The format, repetition, and structure of the suttas has a certain potency. When I read the suttas after meditating, it's completely different.",,Sutta,Psychic powers,Meditation,,,,,,,Yes,
1,Response,,,,,,Buddha,Teaching Dhamma,,,,,,,,,
