Modified:,2023,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,
Title,"Love, Attachment, and Friendship",,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,
Code,UD2019-4,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy,,,,,,,,,,,,,,,,
Start date,12/10/2019,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/125-love-attachment-friendship-upasika-day-2019,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno, Ajahn Karuṇadhammo, and Ajahn Ñāṇiko reflect on love, attachment, and friendship while reading from Ajahn Jayasaro’s book _On Love_.",,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,
Excerpts,4,,,,,,,,,,,,,,,,
Tags applied,32,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,
Duration,1:18:00,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,
1,12/10/2019,,1:18:00,AKd,Benefits and Drawbacks of Love,https://www.abhayagiri.org/media/audio/youtube/8j-zxwgoOBQ.mp3,4,,,,,4680,,,,,
2,12/10/2019,,,,,https://www.abhayagiri.org/media/audio/youtube/gKbqYAFf8w0.mp3,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,Reading,,Session,,Ud 8.8: Visākhā Sutta,,,,,,,,,,,,
1,,,37:00,40:50,Do you feel metta is to be developed or do you feel metta is just an outcome of your life and your practice?,,Goodwill,Right Effort,Conditionality,,Meditation,Precepts,Calming meditation,Suffering,Aversion,,
1,Extra tags,,,,,,,,,,Appropriate attention,Gratitude,,,,,
1,,,40:52,44:49,"Let's say there's someone causing harm and I wish them well-being. But in their mind, the harm they are causing brings them well-being. What kind of well-being am I wishing for them?",,Goodwill,Compassion,Generosity,,Divine Abidings,,,,,,
1,Comment,,44:53,53:31,"Coming out af a long-term relationship where someone was killed in an accident after 42 years, the way you presented the disadvantages and advantages of a conventional loving relationship was perhaps a little light on the advantages.",,Relationships,Death,,,Monastic life/Motivation,Gratitude,Long-term practice,Suffering,Courage,,
1,Response,,,,,AKd,Relationships,Saṅgha,Saṃsāra,Sense of urgency,Long-term practice,,,,,,
1,Response,,,,,AP,Relationships,Buddha/Biography,Saṃsāra,Ageing,Rebirth,Treasures,,,,,
1,Reference,-,,,AN 4.55: Nakula's mother and father aspire to see each other in this life and the next.,,,,,,,,,,,,
1,Question,,,,change this some more.,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
