name,sortBy,nameEntry,tagEntry,teacherEntry,dateText,dateKnown,tag,supertag,attributionName,group,lineage,indexExcerpts,indexSessions,searchable,teacherPage,attribute,allowTag
Ajahn Sao Kantasīlo,"(441, 1879.18)",True,True,False,1879,knownYear,Ajahn Sao,Thai Forest Tradition,,,,,,,,,
Ajahn Mun Bhūridatto,"(441, 1893.18)",True,True,True,1893,knownYear,Ajahn Mun,Thai Forest Tradition,Ajahn Mun,Monastics,Root teachers,True,True,True,True,True,True
Ajahn Chah Subhaddo,"(441, 1939.106)",True,True,True,16 Apr 1939,exactDate,Ajahn Chah,Thai Forest Tradition,Ajahn Chah,Monastics,Root teachers,True,True,True,True,True,True
Ajahn Mahā Amorn Khemacitto,"(445, 1951.18)",True,True,False,1951,estimatedYear,Ajahn Mahā Amorn,Ajahn Chah lineage,,,,,,,,,
Ajahn Jun Indavīro,"(445, 1952.18)",True,True,False,1952,estimatedYear,Ajahn Jun,Ajahn Chah lineage,,,,,,,,,
Ajahn Liem Ṭhitadhammo,"(445, 1961.112)",True,True,True,22 Apr 1961,exactDate,Ajahn Liem,Ajahn Chah lineage,Ajahn Liem,Monastics,Thai disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Boon Choo Ṭhitaguṇo,"(445, 1962.135)",True,True,True,15 May 1962,exactDate,Ajahn Boon Choo,Ajahn Chah lineage,Ajahn Boon Choo,Monastics,Thai disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Toon Cittasallo,"(445, 1964.204)",True,True,True,22 July 1964,exactDate,Ajahn Toon,Ajahn Chah lineage,Ajahn Toon,Monastics,Thai disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Koon Aggadhammo,"(445, 1966.097)",True,True,True,7 Apr 1966,exactDate,Ajahn Koon,Ajahn Chah lineage,Ajahn Koon,Monastics,Thai disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Mahā In,"(445, 1966.18)",True,True,False,1966,knownYear,Ajahn Mahā In,Ajahn Chah lineage,,,,,,,,,
Ajahn Sumedho,"(445, 1967.133)",True,True,True,13 May 1967,exactDate,Ajahn Sumedho,Ajahn Chah lineage,Ajahn Sumedho,Monastics,Western disciples of Ajahn Chah,False,False,True,True,True,True
Ajahn Anek Yasadinno,"(445, 1967.208)",True,True,False,27 July 1967,exactDate,Ajahn Anek,Ajahn Chah lineage,,,,,,,,,
Ajahn Bunjong,"(445, 1970.039)",True,True,False,8 Feb 1970,exactDate,Ajahn Bunjong,Ajahn Chah lineage,,,,,,,,,
Ajahn Gunha Sukhagāmo,"(445, 1970.18)",True,True,False,1970,estimatedYear,Ajahn Gunha,Ajahn Chah lineage,,,,,,,,,
Ajahn Somboon Cittapañño,"(445, 1971.092)",True,True,False,2 Apr 1971,exactDate,Ajahn Somboon,Ajahn Chah lineage,,,,,,,,,
Ajahn Pasanno,"(445, 1974.004)",True,True,True,4 Jan 1974,exactDate,Ajahn Pasanno,Ajahn Chah lineage,Ajahn Pasanno,Monastics,Western disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Anando,"(445, 1974.18)",True,True,False,1974,estimatedYear,Ajahn Anando,Ajahn Chah lineage,,,,,,,,,
Ajahn Tiradhammo,"(445, 1974.181)",True,True,False,30 Jun 1974,exactDate,Ajahn Tiradhammo,Ajahn Chah lineage,,,,,,,,,
Ajahn Viradhammo,"(445, 1974.272)",True,True,True,29 Sep 1974,exactDate,Ajahn Viradhammo,Ajahn Chah lineage,Ajahn Viradhammo,Monastics,Western disciples of Ajahn Chah,False,False,True,True,True,True
Ajahn Jundee Kantasāro,"(445, 1975.153)",True,True,True,2 Jun 1975,exactDate,Ajahn Jundee,Ajahn Chah lineage,Ajahn Jundee,Monastics,Western disciples of Ajahn Chah,False,False,True,False,True,True
Ajahn Gavesako,"(445, 1975.165)",True,True,False,14 Jun 1975,exactDate,Ajahn Gavesako,Ajahn Chah lineage,,,,,,,,,
Ajahn Puriso,"(445, 1975.18)",True,True,False,1975,knownYear,Ajahn Puriso,Ajahn Chah lineage,,,,,,,,,
Ajahn Sucitto,"(445, 1976.082)",True,True,True,22 Mar 1976,exactDate,Ajahn Sucitto,Ajahn Chah lineage,Ajahn Sucitto,Monastics,Western disciples of Ajahn Chah,False,False,True,True,True,True
Ajahn Munindo,"(445, 1976.173)",True,True,False,21 Jun 1976,exactDate,Ajahn Munindo,Ajahn Chah lineage,,,,,,,,,
Ajahn Piak Kantasīlo,"(445, 1976.184)",True,True,True,3 July 1976,exactDate,Ajahn Piak,Ajahn Chah lineage,Ajahn Piak,Monastics,Thai disciples of Ajahn Chah,False,False,True,True,True,True
